id,name,price,photo
cb3cc81d-e672-45f8-fa37-db0ada0d2fe2,Paños Punto Yica - Punto antiguo,0,228af0_d318d4e1803d446dbf8b5053413c21b5~mv2.jpg
b00dff13-a83d-44ce-140e-cc99d2f7c1ab,Escarapela,0,228af0_9ae9f686db8a4952beec0fc73a0d93fc~mv2.jpg
88d650c6-060a-090d-0103-fc5e58df7130,Carteras A Puntos Telar y yica y crochet,0,228af0_15827e9a4669485295a6f927d74d75d0~mv2.jpg
3a18b1e0-1a77-8cc7-7913-153027833dfa,Cinturones crochet y telar MM1 MM2,0,228af0_2b49617b03054c31ac7fc81bc20809d6~mv2.jpg
c741f3bc-85a3-e8f7-a759-9154f944e0ca,Polleras  S,0,228af0_12bb0c1b7643479986c7a1ff473832b6~mv2.jpg
7939fa68-5a0c-c5bd-6e04-99192ea626e4,Morral C5,0,
e83b5b36-9ab4-905d-2448-7a2aeb6fa5ab,Cartera combinada de telar,0,228af0_f81cf628ae504bbcbc2d29903f1e07d6~mv2.jpg
d0dc7685-96b0-40dd-1a84-e1df92bd51f8,Cartera de Punto Antiguo,0,228af0_6b81e7d80cfa4a23bf6bc56ff5dc070e~mv2_d_2448_3264_s_4_2.jpg
f05f2784-47f7-a082-0bd7-a95d5217c876,Cartera de Benicia La Mocha,0,228af0_1093817edf174013832d787ee1815604~mv2_d_2448_3264_s_4_2.jpg
0c013515-7299-e6c5-aa4c-8abecac76851,Cartera Albina DELUXE,0,228af0_7c2757373588413b9c37ab7753ffe583~mv2_d_2448_3264_s_4_2.jpg
0ae420f7-ed4a-ef85-33ea-a8d5f58dc893,Almohadón realizado por Rosa,0,228af0_57d94bb0958d43a3a47344ed53caa862~mv2.jpg
3467459b-f30c-9113-8f50-3e919b10812c,Cesto,0,228af0_abe4a21754f44b908d96244d74217f96~mv2.jpg
2fa11c61-d34a-d0de-b31d-52554a81a808,Sobre de Raquel,0,228af0_2daff1d895f9466bbc9774eae7865211~mv2_d_2448_3264_s_4_2.jpg
9cc9afd0-0f7f-2ce4-1614-5fb74cdca054,Sobre de Ceferina,0,228af0_bbfd14b3d1144e1d8ca435f91f8935b2~mv2_d_2448_3264_s_4_2.jpg
0540df2b-30fd-7e31-3525-68fbc255899a,Cuenco de chaguar,0,228af0_50d2e6d743254c789ee548add444f5f1~mv2_d_2448_3264_s_4_2.jpg
809ab3f7-cbc9-6837-b247-6f572aa979f5,Sobre punto antiguo. Luciana,0,228af0_e55b8e4868304b16899bb0235adb7353~mv2_d_2448_3264_s_4_2.jpg
42ffef4c-4a16-a662-33a1-68d7e3ce7726,Sobre Verde,0,
00b3a5cc-6564-a905-a88f-5a78fa8fba4c,Sobre punto Antiguo de Cristina Barrio Nuevo,0,228af0_26779bc6707b4c5dba24f0795ca85b7b~mv2_d_2448_3264_s_4_2.jpg
